title,release_date,Album,cleaned_lyrics,WordLength
Wreckage Of You*,,NK4*,noah kahan look wreckage long light long like ill curse fuck story tell em way told noah kahan ill comb lighthouse hope youre morning ill bury boatsee noah kahan liveget ticket low might also likeembed noah kahan look wreckage long light long like ill curse fuck story tell em way told noah kahan ill comb lighthouse hope youre morning ill bury boat,349
All Them Horses*,,,window seat ninety plane see river meet spread like vein nother airport lounge nother time zone change gon na dance around sing pain okay pay see dry flood line neighbor porch remember cry horse look scar look scar look scar tell feel escape yell like dad would yеll noise im make im happy still call im happy im happy still call city kid bought farm hеs real nice guy left lifetime invitation friend couldnt make back even try oh thing live forever even die oh see noah kahan liveget ticket low might also like know wan na beat wan na beat bad oh everyone look happy photograph ive cross county line go back im always couldnt make home cause rain oh run bad luck nowhere state im high u big jet plane im always im always one two three four aint plan plane plane land rubbed eye double yellow murder deer cant vanish yes love try disappear thousand mile dirt road strike light let burn slow maybe im manic think time im good im sidewalk preacher record deal im new sneaker network aint mine anymore make much goddamn noise star void boy know wan na beat wan na beat bad oh everyone look happy photograph ive cross county line go back im always couldnt make home cause rain oh run bad luck nowhere state im high u big jet plane im always im always see dry flood line neighbor porch remember cry horse look scar look scar look scar know wan na beat wan na beat bad oh everyone look happy photograph ive cross county line go back im always couldnt make home cause rain oh run bad luck nowhere state im high u big jet plane im always im always ownembed window seat ninety plane see river meet spread like vein nother airport lounge nother time zone change gon na dance around sing pain okay pay see dry flood line neighbor porch remember cry horse look scar look scar look scar tell feel escape yell like dad would yеll noise im make im happy still call im happy im happy still call city kid bought farm hеs real nice guy left lifetime invitation friend couldnt make back even try oh thing live forever even die oh know wan na beat wan na beat bad oh everyone look happy photograph ive cross county line go back im always couldnt make home cause rain oh run bad luck nowhere state im high u big jet plane im always im always one two three four aint plan plane plane land rubbed eye double yellow murder deer cant vanish yes love try disappear thousand mile dirt road strike light let burn slow maybe im manic think time im good im sidewalk preacher record deal im new sneaker network aint mine anymore make much goddamn noise star void boy know wan na beat wan na beat bad oh everyone look happy photograph ive cross county line go back im always couldnt make home cause rain oh run bad luck nowhere state im high u big jet plane im always im always see dry flood line neighbor porch remember cry horse look scar look scar look scar know wan na beat wan na beat bad oh everyone look happy photograph ive cross county line go back im always couldnt make home cause rain oh run bad luck nowhere state im high u big jet plane im always im always,3038
Pull Your Weight,,,use speak rush forget breathe yeah beg body one youd cling sleeve use talk time unusual way saw cloud sky beautiful day love pull weight oh dear feel pain take word mouth fill air wont show forever wan na see youre love pull weight oh dear feel pain love pull weight oh dear feel pain ohohohoh mmmm mmmm mmmmmmsee noah kahan liveget ticket low might also likeembed use speak rush forget breathe yeah beg body one youd cling sleeve use talk time unusual way saw cloud sky beautiful day love pull weight oh dear feel pain take word mouth fill air wont show forever wan na see youre love pull weight oh dear feel pain love pull weight oh dear feel pain ohohohoh mmmm mmmm mmmmmm,675
2010,,,lava lamp room look like another planet ocean minute frozen room smoke know long ive know dad always work already broken found different way show saw id say would ask youve wed school swim pool like ohohohoh ohoh ohoh ohohohoh mm ohoh ohoh dress clothes let pretend live paris let talk shit parent let smoke cigarette share em yeah due path parallel drank six mom beer threw swore wed never tell see noah kahan liveget ticket low might also likealternative verse end instagram live time go though already im change every minute see less less day alternative verse end instagram live though sin would multiply ah thirteen year old tryna make life mm saw id say would ask youve wed school swim pool like ohohohoh dont write song late cause try disassociate dont write song late cause try disassociate saw id say id say tell youve wed school swim pool like embed lava lamp room look like another planet ocean minute frozen room smoke know long ive know dad always work already broken found different way show saw id say would ask youve wed school swim pool like ohohohoh ohoh ohoh ohohohoh mm ohoh ohoh dress clothes let pretend live paris let talk shit parent let smoke cigarette share em yeah due path parallel drank six mom beer threw swore wed never tell alternative verse end instagram live time go though already im change every minute see less less day alternative verse end instagram live though sin would multiply ah thirteen year old tryna make life mm saw id say would ask youve wed school swim pool like ohohohoh dont write song late cause try disassociate dont write song late cause try disassociate saw id say id say tell youve wed school swim pool like,1664
If It Helps You,,NK4*,storm take phone line ride cant call youre bounce wall stretch arm real wide try break fall get mad hell told try heal wound say help say small fame aint make someone else aint high road uneven ground aint even around slow speed told lie turn true lie would still aint goddamn hero cause cry live tv least get soul still evеn im bad place even im eat fast food sleep dad placе im happy haircut im glad get act clean youre show like bad news leave like bad dream help help sleep help help write help help leave help help lie help help see noah kahan liveget ticket low might also like dont need oh get along fine one hundred year lay dirt copper mine grow hair long dont think youre jesus christ one mistake guilt youve get new hampshire face left u new york time shuffle around like ghost ask people die tell lie turn true lie would still aint goddamn hero cause cry live tv least get soul still even im bad place even im eat fast food sleep dad place im happy haircut im glad get act clean youre show like bad news leave like bad dream help help sleep help help write help help leave help help lie fine without baby drove home walk haunt house get angry ghost baby long youre go spare u pity babe save microphone least get soul still even im bad place even im eat fast food sleep dad place oh im happy haircut im glad get act clean youre show like bad news leave like bad dream help help sleep help help write help help leave oh help help lie help help leave help help leave help help leave help help lie fine without babyembed storm take phone line ride cant call youre bounce wall stretch arm real wide try break fall get mad hell told try heal wound say help say small fame aint make someone else aint high road uneven ground aint even around slow speed told lie turn true lie would still aint goddamn hero cause cry live tv least get soul still evеn im bad place even im eat fast food sleep dad placе im happy haircut im glad get act clean youre show like bad news leave like bad dream help help sleep help help write help help leave help help lie help help dont need oh get along fine one hundred year lay dirt copper mine grow hair long dont think youre jesus christ one mistake guilt youve get new hampshire face left u new york time shuffle around like ghost ask people die tell lie turn true lie would still aint goddamn hero cause cry live tv least get soul still even im bad place even im eat fast food sleep dad place im happy haircut im glad get act clean youre show like bad news leave like bad dream help help sleep help help write help help leave help help lie fine without baby drove home walk haunt house get angry ghost baby long youre go spare u pity babe save microphone least get soul still even im bad place even im eat fast food sleep dad place oh im happy haircut im glad get act clean youre show like bad news leave like bad dream help help sleep help help write help help leave oh help help lie help help leave help help leave help help leave help help lie fine without baby,3002
Alone Together,,,caught old without handprints another guy girl get grocery weve become caught cycle cant escape feel like fault get way walk tightrope afraid let u come undone house different place word different language book different page cant say baby alone baby alone togеther know aint love cant find somеthing well cause could choose goodbye could alone could alone together alone togethersee noah kahan liveget ticket low might also likeembed caught old without handprints another guy girl get grocery weve become caught cycle cant escape feel like fault get way walk tightrope afraid let u come undone house different place word different language book different page cant say baby alone baby alone togеther know aint love cant find somеthing well cause could choose goodbye could alone could alone together alone together,815
So Proud*,,,unseasonably warm unreasonably bore talk shit place like reason im asshole well im asshole stayed heard finally quit job prayed god youd reconsider selfish might keep another winter misery love company dear ill optimist hope find god whatever youre leave heard real loud sun never set could proud id proud could proud id proud proudsee noah kahan liveget ticket low might also likeembed unseasonably warm unreasonably bore talk shit place like reason im asshole well im asshole stayed heard finally quit job prayed god youd reconsider selfish might keep another winter misery love company dear ill optimist hope find god whatever youre leave heard real loud sun never set could proud id proud could proud id proud proud,719
Lacy,2023-11-23,Olivia Rodrigo “Stick Season”/Noah Kahan ”Lacy” - FROM THE BBC RADIO 1 LIVE LOUNGE,lacy oh lacy skin like puff pastry arent sweetest thing side hell dear angel lacy eye white daisy ever tell im doin well ooh care care care like perfume wear linger time watch hidden plain sight ooh try try try take life see everywhere sweetest torture one could bear smart sexy lacy im losin lately feel compliment like bullet skin dazzle starlet bardot reincarnate well arent great thing ever exist ooh care care care like ribbon hair stomach knot get one thing want ooh try try try try rationalize people people like youre make angel dust see noah kahan liveget ticket low might also like angel dust dust angel dust ooh care care care like ribbon hair stomach knot get one thing want ooh try try try try rationalize people people like youre make angel dust lacy oh lacy like youre get poison every little thing lacy oh lacy loathe lately despise jealous eye much fell yeah despise rotten mind much worship youembed lacy oh lacy skin like puff pastry arent sweetest thing side hell dear angel lacy eye white daisy ever tell im doin well ooh care care care like perfume wear linger time watch hidden plain sight ooh try try try take life see everywhere sweetest torture one could bear smart sexy lacy im losin lately feel compliment like bullet skin dazzle starlet bardot reincarnate well arent great thing ever exist ooh care care care like ribbon hair stomach knot get one thing want ooh try try try try rationalize people people like youre make angel dust angel dust dust angel dust ooh care care care like ribbon hair stomach knot get one thing want ooh try try try try rationalize people people like youre make angel dust lacy oh lacy like youre get poison every little thing lacy oh lacy loathe lately despise jealous eye much fell yeah despise rotten mind much worship,1776
Orange Juice - Spotify Singles,2023-05-10,Spotify Singles,honey come party go slow one tempt know get sober orange juice kitchen bought child want glad could visit feel like ive ready come home long didnt think ask youd go whyd go say hmm mmmm say hmmmm mm say heart change soul change heart heart face change havent drank six month dot see noah kahan liveget ticket low might also like see graf pas crash back one nick finger ask mе hold make stranger fill angеr im third line lord savior feel like ive ready come home long didnt think ask youd go whyd go say oh oh oh oh say ohohoh oh say heart change soul change heart heart life change town change world change dont find strange go ahead carry know id say last time drank face pass lawn crow pullin didnt put bone ground didnt put bone ground honey come party go slow one tempt know get sober orange juice kitchen bought child want glad could visitembed honey come party go slow one tempt know get sober orange juice kitchen bought child want glad could visit feel like ive ready come home long didnt think ask youd go whyd go say hmm mmmm say hmmmm mm say heart change soul change heart heart face change havent drank six month dot see graf pas crash back one nick finger ask mе hold make stranger fill angеr im third line lord savior feel like ive ready come home long didnt think ask youd go whyd go say oh oh oh oh say ohohoh oh say heart change soul change heart heart life change town change world change dont find strange go ahead carry know id say last time drank face pass lawn crow pullin didnt put bone ground didnt put bone ground honey come party go slow one tempt know get sober orange juice kitchen bought child want glad could visit,1644
How to Fall*,,,blame think love like somewhere ill live perfect moment turn back sht love way way ask terrify pain close enough grab sat watch pas realize mistake know fall without let breaksee noah kahan liveget ticket low might also likeembed blame think love like somewhere ill live perfect moment turn back sht love way way ask terrify pain close enough grab sat watch pas realize mistake know fall without let break,405
Taking Off*,,,get car get bag handwritten note left mom dad police scanner bounce dash cup burnt coffee check cash brain city job get taste county cop pack cigarette round golf couple little debt im take offsee noah kahan liveget ticket low might also likeembed get car get bag handwritten note left mom dad police scanner bounce dash cup burnt coffee check cash brain city job get taste county cop pack cigarette round golf couple little debt im take,437
Rocks in My Shoes [Unreleased],,,county line ’ countin mailbox house place heartbeat stayed bought mountain nothing well wonder im gon na die room ive live life turn music forget till end im ready let go yet one day im gon na cut clear drive like paul revere ask ill say im around stress time dont know town use housе miner wherе dirt look like gold found nothing turn go home tell dont mean something see noah kahan liveget ticket low might also likerocks shoe half tank gas pretend ’ local wave car pas told storm never know ’ come knowledge nature ’ stop folk runnin ’ one day im gon na cut clear drive like paul revere ask say im around hereembed county line ’ countin mailbox house place heartbeat stayed bought mountain nothing well wonder im gon na die room ive live life turn music forget till end im ready let go yet one day im gon na cut clear drive like paul revere ask ill say im around stress time dont know town use housе miner wherе dirt look like gold found nothing turn go home tell dont mean something rock shoe half tank gas pretend ’ local wave car pas told storm never know ’ come knowledge nature ’ stop folk runnin ’ one day im gon na cut clear drive like paul revere ask say im around,1175
Bored Of My Bullshit,,,thought say rarely unless always thought fool write book song worth keep itd short full plot hole foreshadowing doom woke inside nightmare parade wild dream snort ambien im deer three four quarter inch bike headlight hit eye feel like fuck alien bore bullshit nothing cant hold astronaut dont like feel land heart still stomach cure emotion overweight god miss band miss band yeah see noah kahan liveget ticket low might also like burnt lung ash every song start write get bore smoke instead call mom found thing worth fight thing want head bore bullshit nothing cant hold astronaut dont like feel land cure emotion heart still stomach overweight god miss band woke inside nightmare parade wild dream snort ambien deer five three quarter inch bike headlight hit eye feel like fuck alienembed thought say rarely unless always thought fool write book song worth keep itd short full plot hole foreshadowing doom woke inside nightmare parade wild dream snort ambien im deer three four quarter inch bike headlight hit eye feel like fuck alien bore bullshit nothing cant hold astronaut dont like feel land heart still stomach cure emotion overweight god miss band miss band yeah burnt lung ash every song start write get bore smoke instead call mom found thing worth fight thing want head bore bullshit nothing cant hold astronaut dont like feel land cure emotion heart still stomach overweight god miss band woke inside nightmare parade wild dream snort ambien deer five three quarter inch bike headlight hit eye feel like fuck alien,1528
Men’s Room*,,,im wait god men room feel like metaphor everything wrong men room mess make say sorry lens camera say look hell deep head answer rain get shit ohoh ohoh im drinking im kick road see land ohoh ohoh spin wheel cause secret cant keep sit outside hill ill die hill im float around like phantom like stray dog like laid hope found cancer hope bitterness finally paid see noah kahan liveget ticket low might also like ohoh ohoh im drinking im kick road see land ohoh ohoh spin wheel cause reason cant sleep sit outside hill ill die hill light snow exit sign rhythmless note mother wind chime even snake grass get afraid past wont answer dont let ask cause ill nothing thats fine ill nothing thats fine ill nothing thats fine thats fine im wait god men room feel like metaphor everything wrong men room mess make say sorry forembed im wait god men room feel like metaphor everything wrong men room mess make say sorry lens camera say look hell deep head answer rain get shit ohoh ohoh im drinking im kick road see land ohoh ohoh spin wheel cause secret cant keep sit outside hill ill die hill im float around like phantom like stray dog like laid hope found cancer hope bitterness finally paid ohoh ohoh im drinking im kick road see land ohoh ohoh spin wheel cause reason cant sleep sit outside hill ill die hill light snow exit sign rhythmless note mother wind chime even snake grass get afraid past wont answer dont let ask cause ill nothing thats fine ill nothing thats fine ill nothing thats fine thats fine im wait god men room feel like metaphor everything wrong men room mess make say sorry,1590
Drunk In Room 10*,,,turn say aint finish yet ive get another half hour nurse left stole marb red surgeon desk wife two kid sevenyear itch say shark guess burnt alive say far far bad way die look like child start cry look like bride hospital white suppose kid love fuck let get drunk room halide lamp well close eye ceiling spin well wake close river college kid swim know wont last float back well stay water til nurse get mad theyll say fuck know bad drink dont dare wake shes get somewhere somewhere see noah kahan liveget ticket low might also likeembed turn say aint finish yet ive get another half hour nurse left stole marb red surgeon desk wife two kid sevenyear itch say shark guess burnt alive say far far bad way die look like child start cry look like bride hospital white suppose kid love fuck let get drunk room halide lamp well close eye ceiling spin well wake close river college kid swim know wont last float back well stay water til nurse get mad theyll say fuck know bad drink dont dare wake shes get somewhere somewhere,1018
You’re Gonna Be Fine*,,,today ’ step outside say “ ’ fine cause ’ work count ” ’ lot thing right say “ good way rule bad thing ” told hate body skin say ’ know beautiful say get front row seat promise ’ flawless begin end wan na believe ’ cause ’ shitshow inside light go take bow ’ bore ’ see film thousand time end always cry curtain close take bow stand applaud every time say “ ’ gon na fine kid ” ’ gon na fine kid today ’ lose mind say “ alright ’ race baby ’ finish line sign say ‘ dude right ’ number one ’ ” wan na believe ’ cause ’ shitshow inside light go take bow ’ still bore ’ see film thousand time towards end always cry curtain close show stand applaud every time say “ ’ gon na fine kid ” ’ gon na fine kidsee noah kahan liveget ticket low might also likeembed today ’ step outside say “ ’ fine cause ’ work count ” ’ lot thing right say “ good way rule bad thing ” told hate body skin say ’ know beautiful say get front row seat promise ’ flawless begin end wan na believe ’ cause ’ shitshow inside light go take bow ’ bore ’ see film thousand time end always cry curtain close take bow stand applaud every time say “ ’ gon na fine kid ” ’ gon na fine kid today ’ lose mind say “ alright ’ race baby ’ finish line sign say ‘ dude right ’ number one ’ ” wan na believe ’ cause ’ shitshow inside light go take bow ’ still bore ’ see film thousand time towards end always cry curtain close show stand applaud every time say “ ’ gon na fine kid ” ’ gon na fine kid,1455
Porch Light,,NK4*,would ask youve internet oh yeah mean knew youre look autopsy halfassed halfapology think picked wrong time make call irrelevant stop take medicine im give benefit cause rain ill tell weather ill slip eloquently ramble mixedmessaging shut dont cold cold cold dont know im alone im alone im alonе im alone hope tell mе youre wind lose taste face crowd whatever make famous make sick pain allows aint make aint shame call thing quits dont dont dont dont dont youre ghost youre ghost youre ghost youre ghost see noah kahan liveget ticket low might also like poison spread lung aint hold breath aint hold faith ill pray pain ill leave porch light im heartbroken morning turn go go go act like sit wait reappear baby bill pay dad road need salt try drown talk eyeball parking lot tell people aint want guess youre fault dont youre ghost youre ghost youre ghost youre ghost choke choke choke choke poison youre spread lung aint hold breath aint hold faith ill pray pain ill leave porch light heartbroken morning turn go go go poison spread lung aint hold breath aint hold faith ill pray pain ill leave porch light im heartbroken morning turn go go go youre ghost youre ghost youre ghostembed would ask youve internet oh yeah mean knew youre look autopsy halfassed halfapology think picked wrong time make call irrelevant stop take medicine im give benefit cause rain ill tell weather ill slip eloquently ramble mixedmessaging shut dont cold cold cold dont know im alone im alone im alonе im alone hope tell mе youre wind lose taste face crowd whatever make famous make sick pain allows aint make aint shame call thing quits dont dont dont dont dont youre ghost youre ghost youre ghost youre ghost poison spread lung aint hold breath aint hold faith ill pray pain ill leave porch light im heartbroken morning turn go go go act like sit wait reappear baby bill pay dad road need salt try drown talk eyeball parking lot tell people aint want guess youre fault dont youre ghost youre ghost youre ghost youre ghost choke choke choke choke poison youre spread lung aint hold breath aint hold faith ill pray pain ill leave porch light heartbroken morning turn go go go poison spread lung aint hold breath aint hold faith ill pray pain ill leave porch light im heartbroken morning turn go go go youre ghost youre ghost youre ghost,2316
Tourist Trap,,,tiny tourist trap mile interstate watch empty new yorkers come justify sin meditate get cold head back south drinking bar staff head work sat get drunk next well ask long id twenty year im check soon say baby aint nothing break darken heart quite likе ray light see glow watch fade know rеturn next summertime ill counting day ill counting day give reason staysee noah kahan liveget ticket low might also likeembed tiny tourist trap mile interstate watch empty new yorkers come justify sin meditate get cold head back south drinking bar staff head work sat get drunk next well ask long id twenty year im check soon say baby aint nothing break darken heart quite likе ray light see glow watch fade know rеturn next summertime ill counting day ill counting day give reason stay,775
Brick Wall*,,,aint take boot im gon na wear em house im gon na track mud everywhere til fuck cuss see eye somewhere floor cause could see cry wouldnt fight anymore dont bitch rain aint ask change aint ask money im ask pain cause im work time always walk door wish could see cry cause cant fight anymore mm mm mmmm mmsee noah kahan liveget ticket low might also likeembed aint take boot im gon na wear em house im gon na track mud everywhere til fuck cuss see eye somewhere floor cause could see cry wouldnt fight anymore dont bitch rain aint ask change aint ask money im ask pain cause im work time always walk door wish could see cry cause cant fight anymore mm mm mmmm mm,659
Angry Yet*,,NK4*,im write know boring death run sentence overuse ampersand im living aint bad aint amsterdam say im good write hook good shake hand im keep close track every action consequence call foul fuck nothing happens next signing name fan always leave asterisk cause im smoking bad freethrowing pro yip want boredom hate autumn get mean want end want last minute morning angry yet want youth wan na puke bullshit mouth want see see see mysеlf im okay burning im okay fall damn important surrender give givе one minute stretch cigarette smoke car play old demo ill make promise start im try live moment wont get back im try give shit bout shit aint suppose im star car head north wish could hop hope small town make feel far insignificant see noah kahan liveget ticket low might also like want boredom hate autumn get mean want end want last minute morning angry yet want youth wan na puke bullshit mouth want see see see im okay burning im okay fall damn important surrender give give one minute stretch cigarette smoke car play old demo ill make promise startembed im write know boring death run sentence overuse ampersand im living aint bad aint amsterdam say im good write hook good shake hand im keep close track every action consequence call foul fuck nothing happens next signing name fan always leave asterisk cause im smoking bad freethrowing pro yip want boredom hate autumn get mean want end want last minute morning angry yet want youth wan na puke bullshit mouth want see see see mysеlf im okay burning im okay fall damn important surrender give givе one minute stretch cigarette smoke car play old demo ill make promise start im try live moment wont get back im try give shit bout shit aint suppose im star car head north wish could hop hope small town make feel far insignificant want boredom hate autumn get mean want end want last minute morning angry yet want youth wan na puke bullshit mouth want see see see im okay burning im okay fall damn important surrender give give one minute stretch cigarette smoke car play old demo ill make promise start,2056
Passenger - Live,2020-04-27,,look beautiful spectrum fuck is— alright go oh think ive found way keep whole write fear green note swallow doubt away watch grow old past year seem slow take heart soul pick apart look inside inside fill dream cant hold keep afloat cold world cold world tell wont hurt im passenger old wont work im passenger hmmmmmmmm im passenger hmmmmmmmm im passenger hmmmmmmmm im passenger see noah kahan liveget ticket low might also like oh think ive found way keep hand full spend long night question selfcontrol take heart soul pick apart look inside inside fill dream cant hold keep afloat cold world cold world tell wont hurt im passenger old wont work im passenger ohohoh im passenger ohohoh im passenger ohohoh im passenger debt owe oh keep useful head held tall cant accept lose make balance oh cant make whole tell wont hurt im passenger old wont work im passenger ohohoh im passenger ohohoh im passenger ohohoh im passenger ohohoh ohohoh word nice yeahembed look beautiful spectrum fuck is— alright go oh think ive found way keep whole write fear green note swallow doubt away watch grow old past year seem slow take heart soul pick apart look inside inside fill dream cant hold keep afloat cold world cold world tell wont hurt im passenger old wont work im passenger hmmmmmmmm im passenger hmmmmmmmm im passenger hmmmmmmmm im passenger oh think ive found way keep hand full spend long night question selfcontrol take heart soul pick apart look inside inside fill dream cant hold keep afloat cold world cold world tell wont hurt im passenger old wont work im passenger ohohoh im passenger ohohoh im passenger ohohoh im passenger debt owe oh keep useful head held tall cant accept lose make balance oh cant make whole tell wont hurt im passenger old wont work im passenger ohohoh im passenger ohohoh im passenger ohohoh im passenger ohohoh ohohoh word nice yeah,1860
Pain Eater*,,NK4*,thought true magic form real far back look truly important stood laugh mirror drove car ninetyfive omira told dad stop send letter broken folk foot ember cause ’ know doesnt feel like answer glad help cure cancer woke townhouse nashville bought like one hundred pair shoe close enough childhood nightmare wish id die least wish id lose aint strange hero anxious aint odd ask cheer pour one rich sad famous cry ill tour next year turn back turn back im pain eater oh turn back turn back im pain eater turn back turn back im pain— see noah kahan liveget ticket low might also like ive try work angle ive try make fit ive lie sound less ungrateful hop pain eclipse yeah ive iron wrinkle clothes even though never go reading sign love show wonder talk turn back turn back im pain eater turn back oh turn back im pain eater woke townhouse nashville bought like one hundred pair shoe close enough childhood nightmare wish id die least wish id lose turn back turn back im pain eaterembed thought true magic form real far back look truly important stood laugh mirror drove car ninetyfive omira told dad stop send letter broken folk foot ember cause ’ know doesnt feel like answer glad help cure cancer woke townhouse nashville bought like one hundred pair shoe close enough childhood nightmare wish id die least wish id lose aint strange hero anxious aint odd ask cheer pour one rich sad famous cry ill tour next year turn back turn back im pain eater oh turn back turn back im pain eater turn back turn back im pain— ive try work angle ive try make fit ive lie sound less ungrateful hop pain eclipse yeah ive iron wrinkle clothes even though never go reading sign love show wonder talk turn back turn back im pain eater turn back oh turn back im pain eater woke townhouse nashville bought like one hundred pair shoe close enough childhood nightmare wish id die least wish id lose turn back turn back im pain eater,1906
​complex,,,im wearin boxer im bein good wife wont together maybe next life need like water life landslide cry bathroom turn big light im bein cool girl im keepin tight carry home friend good time need like water think im alright im feelin human think good guysee noah kahan liveget ticket low might also likeembed im wearin boxer im bein good wife wont together maybe next life need like water life landslide cry bathroom turn big light im bein cool girl im keepin tight carry home friend good time need like water think im alright im feelin human think good guy,551
Remember Everything,2021-01-05,,ill heal heart everything thats lose hope god memory dont fade whenever feel year might forgotten whenever tear run face hold arm ill fall retreat bursting seam let remember everything echo soul shadow dream bursting seam let remember everything every mile apart feel like inch every hour pass second time hold weight distance go place mind hold arm ill fall retreat bursting seam let remember everything echo soul shadow dream bursting seam let remember everything see noah kahan liveget ticket low might also like oohooh oohooh remember everything oohooh oohoohembed ill heal heart everything thats lose hope god memory dont fade whenever feel year might forgotten whenever tear run face hold arm ill fall retreat bursting seam let remember everything echo soul shadow dream bursting seam let remember everything every mile apart feel like inch every hour pass second time hold weight distance go place mind hold arm ill fall retreat bursting seam let remember everything echo soul shadow dream bursting seam let remember everything oohooh oohooh remember everything oohooh oohooh,1082
Everybody Knows*,,NK4*,oh everybody know youre dyin everybody know oh everybody know everybody know youre dyin youre sell shit inside house guess decide live without emptiness around leaf little doubt everyone see youre dyin youre tell u youre make plan hopin misunderstand youre smart enough know difference dream decision everyone see youre dyin everyone see youre dyin turn say aint finish yet get another half hour nurse left stole bread surgeon desk wife two kid sevenyear itch say shuck guess theyre bein burn alive told far bad way die look like bride hospital white look like child start cry see noah kahan liveget ticket low might also like suppose kid forgive fuck let get drunk room halo lamp well close eye room start spin wade close river college kid swim know wont last float back well stay water til nurse get mad theyll say hell doin know bad drink dont dare wake u weve get somewhere everybody know youre dyin embed oh everybody know youre dyin everybody know oh everybody know everybody know youre dyin youre sell shit inside house guess decide live without emptiness around leaf little doubt everyone see youre dyin youre tell u youre make plan hopin misunderstand youre smart enough know difference dream decision everyone see youre dyin everyone see youre dyin turn say aint finish yet get another half hour nurse left stole bread surgeon desk wife two kid sevenyear itch say shuck guess theyre bein burn alive told far bad way die look like bride hospital white look like child start cry suppose kid forgive fuck let get drunk room halo lamp well close eye room start spin wade close river college kid swim know wont last float back well stay water til nurse get mad theyll say hell doin know bad drink dont dare wake u weve get somewhere everybody know youre dyin,1763
Freedom,,,never knew say always knew say something hear didnt listen far proud never knew good make disappear im one leaf dont know thought id find know lose need tonight dont see star sky im miss always told spend time dance rain find lesson pain living life like stage freedom artist architect become hope mistake never get chance say freedom see noah kahan liveget ticket low might also like freedom always knew say something hear never listen far proud never knew good make disappear im one weighs dont know thought id find know lose need tonight dont see star sky im miss always told spend time dance rain find lesson pain living life like stage freedom artist architect become hope mistake never get chance say freedom woah woah freedom yeah freedom freedom dont know thought id find know lose need tonight dont see star sky im miss always told spend time dance rain find lesson pain living life like stage freedom im artist architect ive become hope mistake never get chance say freedomembed never knew say always knew say something hear didnt listen far proud never knew good make disappear im one leaf dont know thought id find know lose need tonight dont see star sky im miss always told spend time dance rain find lesson pain living life like stage freedom artist architect become hope mistake never get chance say freedom freedom always knew say something hear never listen far proud never knew good make disappear im one weighs dont know thought id find know lose need tonight dont see star sky im miss always told spend time dance rain find lesson pain living life like stage freedom artist architect become hope mistake never get chance say freedom woah woah freedom yeah freedom freedom dont know thought id find know lose need tonight dont see star sky im miss always told spend time dance rain find lesson pain living life like stage freedom im artist architect ive become hope mistake never get chance say freedom,1922
Breathe*,,,find city youve ever see onscreen keep mind thing youll ask parent money theyll ask youve weep drink coffee keep mind thing keep mind thing keep mind thing youre weak show skin bone world seem swallow whole hope breathe hope breathe hope breathe see noah kahan liveget ticket low might also like sleep grow old week stare old folk aisle keep mind thing keep mind thing keep mind thing youre weak show skin bone world seem swallow whole hope breathe youre weak show skin bone world seem swallow whole hope breathe hope breathe glimpse city youve ever see onscreen count curse blessing keep mind thing youll ask parent money theyll ask youve weep drink coffee keep mind thing keep mind thing keep mind thing youre weak show lord skin bone world seem swallow whole hope breathe youre weak show skin bone world seem swallow whole hope breatheembed find city youve ever see onscreen keep mind thing youll ask parent money theyll ask youve weep drink coffee keep mind thing keep mind thing keep mind thing youre weak show skin bone world seem swallow whole hope breathe hope breathe hope breathe sleep grow old week stare old folk aisle keep mind thing keep mind thing keep mind thing youre weak show skin bone world seem swallow whole hope breathe youre weak show skin bone world seem swallow whole hope breathe hope breathe glimpse city youve ever see onscreen count curse blessing keep mind thing youll ask parent money theyll ask youve weep drink coffee keep mind thing keep mind thing keep mind thing youre weak show lord skin bone world seem swallow whole hope breathe youre weak show skin bone world seem swallow whole hope breathe,1632
Fine Line,2024-09-11,,put price emotion im look something buy youve get devotion man hate sometimes dont want fight dont want sleep dirt well get drink ill get think well fine line well fine line well fine line well fine line well fine line well fine line test patiеnce thing wеll never know sunshine temptress hand risk fold crisp trepidation ill try shake soon spread open way know ooh ooh see noah kahan liveget ticket low might also like well fine line well fine line well fine line well fine line well fine line well fine line well fine line well fine line well fine line well fine line well fine line well fine line well alright well alright well alright well fine line well fine line well alrightembed put price emotion im look something buy youve get devotion man hate sometimes dont want fight dont want sleep dirt well get drink ill get think well fine line well fine line well fine line well fine line well fine line well fine line test patiеnce thing wеll never know sunshine temptress hand risk fold crisp trepidation ill try shake soon spread open way know ooh ooh well fine line well fine line well fine line well fine line well fine line well fine line well fine line well fine line well fine line well fine line well fine line well fine line well alright well alright well alright well fine line well fine line well alright,1318
